NREG_ERR;DESC ERR
10414;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
10602;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
10620;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
10937;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
11454;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR NO PUEDE SER IGUAL A CERO 0  CUANDO EL TIPO DE DOCUMENTO ES DISTINTO A 99
12264;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR NO PUEDE SER IGUAL A CERO 0  CUANDO EL TIPO DE DOCUMENTO ES DISTINTO A 99
12420;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR NO PUEDE SER IGUAL A CERO 0  CUANDO EL TIPO DE DOCUMENTO ES DISTINTO A 99
12790;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
13362;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
13798;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
13827;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
13874;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
14017;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
14263;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
14397;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
14499;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
14569;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
14985;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR NO PUEDE SER IGUAL A CERO 0  CUANDO EL TIPO DE DOCUMENTO ES DISTINTO A 99
14986;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
15004;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
15223;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR NO PUEDE SER IGUAL A CERO 0  CUANDO EL TIPO DE DOCUMENTO ES DISTINTO A 99
15263;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR NO PUEDE SER IGUAL A CERO 0  CUANDO EL TIPO DE DOCUMENTO ES DISTINTO A 99
16051;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR NO PUEDE SER IGUAL A CERO 0  CUANDO EL TIPO DE DOCUMENTO ES DISTINTO A 99
16088;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
16093;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
16176;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
16230;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
16231;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
16261;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR NO PUEDE SER IGUAL A CERO 0  CUANDO EL TIPO DE DOCUMENTO ES DISTINTO A 99
16339;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
16769;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
16907;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
17217;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
