Licencia	Fecha y Hora del Viaje	Destino	Obs. Factura	Total Fact.	Cond. Venta	Pago $	Pago u$s	Pago EU	Comisión	IVA	Letra	Talonario	Comprabante	Compensado	Fecha de Compensado	Usuario	Nro. de Caja	nrCupon	Observación
108	13/01/2011 13:33:42	RECOLETA - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	JUNCAL	150.	Contado	150.	.	.	12.	.	B	0007	00152547    	NO		DANIA		9000850050	
109	25/01/2010 13:22:42	BARRIO UNO - EZEIZA V/C  (1 DESTINO) 		48.	Contado	48.	.	.	.	.	B	0006	00173698    	NO		FRICCIARDI		9000621643	
109	03/04/2011	SAN TELMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	CRAMER 640	150.	Contado	.	38.	.	12.	.	B	0005	00156719    	NO		MGABRIELA		9000878823	
11	29/10/2010 08:26:14	RETIRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		130.	Contado	.	34.	.	10.	.	B	0007	00139381    	NO		LAUTARO		9000796308	
11	20/09/2010 06:46:32	VERSALLES - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 	1 DESTINO	123.	Contado	123.	.	.	10.	.	B	0005	00137968    	NO		BFAZZALARI		9000769971	
11	21/11/2010 08:32:29	LINIERS - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		123.	Contado	123.	.	.	10.	.	B	0006	00260706    	NO		LEO		9000815943	
110	05/01/2011	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0006	00304650    	NO		SOLEDAD		9000913709	
110	31/01/2011 17:21:55	RECOLETA - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0006	00280565    	NO		CSAVO		9000860456	
110	26/11/2009 12:29:43	HOTEL FAENA  (1 DESTINO) 		98.	Contado	98.	.	.	7.	.	B	0003	00089806    	NO		XIMENA		9000582148	
111	27/08/2010 10:43:33	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	HTEL ARGENTINO 	128.	Contado	128.	.	.	10.	.	B	0005	00135609    	NO		CSOSA		9000754552	
111	21/12/2010 17:52:04	CONSTITUCION - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0007	00149391    	NO		LEO		9000836477	
111	13/03/2011 12:21:40	RETORNO - PEAJES - CAPITAL FEDERAL  (1 DESTINO) 		120.	Cuenta Corriente	.	.	.	5.	.	A	0008	00000196    	NO		NOEMI		9000884924	
112	20/04/2010 23:32:58	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00196055    	NO		LEO		9000673990	
113	30/03/2011 15:51:52	RECOLETA - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	HOTEL WILTON PALACE	150.	Contado	150.	.	.	12.	.	B	0006	00296596    	NO		CAMILA		9000895394	
113	14/05/2011 13:30:55	ONCE - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	URQUIZA 300	150.	Contado	150.	.	.	12.	.	B	0006	00307033    	NO		SOLEDAD		9000920048	
113	20/01/2010 04:34:57	RETIRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0005	00102206    	NO		DIEGOA		9000618319	
115	28/12/2010 10:39:21	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	BOLIVAR 160	150.	Contado	150.	.	.	12.	.	B	0007	00150354    	NO		MGABRIELA		9000840550	
116	28/04/2011 20:21:50	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	RECONQUISTA 699	150.	Contado	150.	.	.	12.	.	B	0006	00304062    	NO		MATIAS		9000912478	
118	11/09/2010	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO)  - SEGUNDO DESTINO + 10 CUADRAS - CAPITAL FEDERAL  		165.	Contado	165.	.	.	10.	.	B	0006	00256771    	NO		BFAZZALARI		9000805417	
118	01/09/2010	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0005	00100247    	NO		DAVID		9000611461	
119	05/02/2011	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	1126 AV SANTA FE	150.	Contado	150.	.	.	12.	.	B	0006	00304775    	NO		CECILIA		9000913994	
119	06/12/2010	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	.	32.	.	8.	.	B	0007	00118705    	NO		VRIVEROS		9000704384	
12	29/11/2010 15:32:15	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	H ROCHETER MAIPU	130.	Contado	130.	.	.	10.	.	B	0007	00146025    	NO		BFAZZALARI		9000822868	
121	03/10/2011	RECOLETA - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	LOYS SUITES RECOLETA	150.	Contado	150.	.	.	12.	.	B	0005	00157332    	NO		CSAVO		9000882929	
122	11/08/2010	RET  (1 DESTINO) 		98.	Contado	98.	.	.	.	.	B	0008	00025104    	NO		NOEMI		9000804556	
123	14/07/2010 01:06:57	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0001	00173166    	NO		SOLEDAD		9000724071	
124	11/08/2009	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		98.	Contado	98.	.	.	7.	.	B	0006	00150477    	NO		MARIANA		9000569180	
124	03/09/2011	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	.	38.	.	12.	.	B	0006	00290495    	NO		SOLEDAD		9000882133	
125	06/03/2010	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0007	00117697    	NO		MARIANA		9000699392	
125	08/02/2010	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		128.	Contado	128.	.	.	10.	.	B	0006	00226920    	NO		MARIANA		9000739390	
126	31/10/2009 22:28:15	SAN TELMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		98.	Contado	98.	.	.	7.	.	B	0005	00089528    	NO		LEO		9000563911	
13	13/08/2010 05:00:03	VILLA URQUIZA - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		128.	Contado	128.	.	.	10.	.	B	0006	00230010    	NO		CECILIA		9000746039	
13	23/07/2010 05:09:32	AEROPARQUE - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		138.	Contado	138.	.	.	8.	.	B	0006	00223600    	NO		SOLEDAD		9000731214	
13	12/11/2010	VILLA CRESPO - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 	SERRANO 571	150.	Contado	150.	.	.	12.	.	B	0006	00266299    	NO		CSAVO		9000830269	
14	12/09/2009	PUERTO MADERO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		98.	Contado	98.	.	.	7.	.	B	0006	00160312    	NO		FRICCIARDI		9000591293	
14	15/08/2010 06:36:07	AEROPARQUE - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		148.	Contado	148.	.	.	10.	.	B	0007	00127960    	NO		DANIA		9000747302	
14	02/02/2011	CABALLITO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0006	00280825    	NO		SOLEDAD		9000861168	
14	12/09/2009	URBANA SUITS  (1 DESTINO) 		98.	Contado	98.	.	.	7.	.	B	0007	00088539    	NO		CECILIA		9000591164	
15	24/01/2011 22:23:55	PUERTO MADERO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	HILTON	150.	Contado	150.	.	.	12.	.	B	0006	00279067    	NO		CAMILA		9000856644	
15	16/08/2010 09:32:03	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		128.	Contado	128.	.	.	10.	.	B	0006	00230879    	NO		CSAVO		9000747980	
16	09/04/2010	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	SUISPACHA	128.	Contado	128.	.	.	10.	.	B	0007	00130785    	NO		DANIA		9000759822	
16	03/02/2011	RETIRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	1 DESTINO	150.	Contado	150.	.	.	12.	.	B	0006	00288257    	NO		CAMILA		9000877421	
16	17/03/2010 12:07:36	BECCAR- SAN ISIDRO  (1 DESTINO) 		145.	Contado	145.	.	.	8.	.	B	0001	00171770    	NO		CAMILA		9000653767	
16	16/08/2010 01:17:52	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		128.	Contado	128.	.	.	10.	.	B	0006	00230798    	NO		CECILIA		9000747808	
17	10/06/2010	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		130.	Contado	130.	.	.	10.	.	B	0006	00246719    	NO		AGRESTA		9000780416	
17	12/12/2010	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	CORDOBA 690	150.	Contado	150.	.	.	12.	.	B	0005	00149702    	NO		CAMILA		9000830998	
17	17/04/2011 14:17:56	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	507 C PELLEGRINI	150.	Contado	.	38.	.	12.	.	B	0007	00166686    	NO		CECILIA		9000906147	
18	03/11/2011	VILLA CRESPO - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 	ARAOS 535	150.	Contado	150.	.	.	12.	.	B	0007	00161000    	NO		MAXI		9000883899	
18	04/09/2010	BELGRANO - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00192958    	NO		CSOSA		9000667114	
20	22/11/2010 22:26:21	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	SALGUERO Y LAS HERAS	130.	Contado	130.	.	.	10.	.	B	0006	00261330    	NO		CAMILA		9000817462	
20	01/05/2011	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	HOTEL SAVOY	150.	Contado	150.	.	.	12.	.	B	0005	00151757    	NO		DANIA		9000845640	
20	20/11/2010 23:25:28	RECOLETA - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	HOTEL ETOILE	130.	Contado	130.	.	.	10.	.	B	0005	00146644    	NO		LAUTARO		9000815780	
20	24/12/2010 13:19:42	ALMAGRO - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0006	00269874    	NO		PABLOP		9000838103	
20	11/06/2009	ITUZAINGO - ITUZAINGO CON PEAJES  (1 DESTINO) 		130.	Contado	130.	.	.	7.	.	B	0006	00149938    	NO		CSOSA		9000567889	
20	23/10/2010 21:56:14	VILLA URQUIZA - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		130.	Contado	130.	.	.	10.	.	B	0007	00138350    	NO		SOLEDAD		9000792536	
20	21/11/2010 04:33:03	COGHLAN - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	TRONADOR 3430	130.	Contado	130.	.	.	10.	.	B	0006	00260658    	NO		CAMILA		9000815841	
20	23/11/2010 00:00:38	CIUDAD JARDIN - TRES DE FEBRERO  (1 DESTINO) 		150.	Contado	150.	.	.	10.	.	B	0006	00261376    	NO		CAMILA		9000817512	
20	23/11/2010 01:30:44	RECOLETA - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		130.	Contado	130.	.	.	10.	.	B	0005	00147010    	NO		CSAVO		9000817546	
20	23/11/2010 05:00:13	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	ASPEN TOWERS	130.	Contado	130.	.	.	10.	.	B	0006	00261424    	NO		CAMILA		9000817582	
21	24/11/2010 22:22:11	RECOLETA - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	ARENALES 1627	130.	Contado	130.	.	.	10.	.	B	0007	00144997    	NO		LAUTARO		9000819033	
21	24/06/2010 02:57:21	CANNING - EZEIZA CON PEAJES V/C  (1 DESTINO) 		75.	Contado	75.	.	.	.	.	B	0006	00214078    	NO		SOLEDAD		9000711042	
21	24/11/2010 20:29:06	SAN TELMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		130.	Contado	130.	.	.	10.	.	B	0006	00261907    	NO		LEO		9000818958	
21	01/04/2010	LIBERTAD Y LIBERTADOR  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0007	00093515    	NO		FRICCIARDI		9000608511	
23	02/07/2010	BELGRANO - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00177312    	NO		DAVID		9000629236	
23	26/01/2010 01:30:24	BOEDO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00173839    	NO		DAVID		9000621960	
23	22/06/2011 00:07:15	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	NH LATINO 	150.	Contado	150.	.	.	12.	.	B	0006	00316045    	NO		CSAVO		9000938875	
24	07/03/2010	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00216511    	NO		SOLEDAD		9000716355	
24	15/07/2010 10:56:11	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	SARMIENTO 1953	118.	Contado	118.	.	.	8.	.	B	0007	00123042    	NO		BFAZZALARI		9000725056	
24	09/02/2010	RECOLETA - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	DR.ABAD MOSQUERA MARCELO	128.	Cuenta Corriente	.	.	.	10.	.	A	0007	00000558    	NO		BFAZZALARI		9000758582	
24	10/08/2010	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	SANTA FE Y PUEYRREDON	130.	Contado	130.	.	.	10.	.	B	0006	00247228    	NO		LEO		9000781693	
25	30/09/2010 17:22:23	TIGRE - TIGRE CON PEAJES  (1 DESTINO) 		198.	Contado	198.	.	.	10.	.	B	0005	00138880    	NO		CSAVO		9000776355	
25	01/09/2010	"SAN ISIDRO CON PEAJES
  (1 DESTINO) "		125.	Contado	125.	.	.	8.	.	B	0007	00094430    	NO		MARIANA		9000611794	
27	18/04/2011 06:52:12	MATADEROS - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 	1 DESTINO 	140.	Contado	140.	.	.	12.	.	B	0006	00301553    	NO		BFAZZALARI		9000906558	
28	17/08/2010 13:16:02	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		128.	Contado	128.	.	.	10.	.	B	0007	00128245    	NO		CSAVO		9000748736	
3	19/02/2011 12:41:52	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0006	00285450    	NO		MATIAS		9000870829	
3	27/03/2011 10:35:59	ONCE - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	PASO Y MITRE 	150.	Contado	150.	.	.	12.	.	B	0006	00295622    	NO		MAXI		9000893251	
3	12/01/2010	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	CERRITO 300	150.	Contado	150.	.	.	12.	.	B	0005	00148406    	NO		CSOSA		9000824033	
30	30/08/2010 04:24:09	RETIRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		128.	Contado	128.	.	.	10.	.	B	0006	00234952    	NO		CECILIA		9000756218	
30	21/08/2010 21:29:43	AEROPARQUE - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		148.	Contado	148.	.	.	10.	.	B	0006	00232504    	NO		LEO		9000751441	
33	04/08/2011	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0001	00175177    	NO		PABLOP		9000900807	
34	17/06/2011 12:58:43	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0002	00094734    	NO		CECILIA		9000936531	
34	27/08/2010 23:10:58	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		128.	Contado	128.	.	.	10.	.	B	0007	00129606    	NO		SOLEDAD		9000754942	
34	10/03/2010	FLORES - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		123.	Contado	123.	.	.	10.	.	B	0007	00134506    	NO		CAMILA		9000778032	
35	03/05/2010	VILLA DEL PARQUE - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00184342    	NO		CAMILAP		9000646461	
35	28/03/2011 09:59:44	SAN TELMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	CHILE 80	150.	Contado	150.	.	.	12.	.	B	0006	00296005    	NO		CSAVO		9000894001	
36	16/05/2010 21:37:16	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00203115    	NO		BFAZZALARI		9000688434	
38	05/09/2011	EZEIZA - EZEIZA CON PEAJE  (1 DESTINO) 		70.	Contado	70.	.	.	.	.	B	0002	00094526    	NO		MARIANA		9000918182	
38	02/10/2011	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0006	00283065    	NO		CECILIA		9000865512	
38	21/01/2011 09:57:39	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	H MARRIOT 	150.	Contado	150.	.	.	12.	.	B	0006	00277908    	NO		BFAZZALARI		9000854538	
38	15/12/2010 11:39:07	PUERTO MADERO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	.	38.	.	12.	.	B	0007	00148459    	NO		DANIA		9000832569	
38	24/05/2010 01:30:45	CABALLITO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0002	00092742    	NO		CECILIA		9000692580	
38	23/03/2011 20:46:48	PUERTO MADERO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	CHILE 80	150.	Contado	150.	.	.	12.	.	B	0007	00162874    	NO		MATIAS		9000891208	
38	24/03/2011 09:08:09	PUERTO MADERO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0005	00158460    	NO		CECILIA		9000891408	
38	11/03/2009	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		98.	Contado	98.	.	.	7.	.	B	0001	00168741    	NO		MARIA		9000565587	
4	27/12/2009 10:51:00	RETOR. CAMIONETA CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0002	00089040    	NO		MARIA		9000603829	
4	13/11/2010 08:37:48	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	CNEL DIAZ Y MANZILLA	130.	Contado	130.	.	.	10.	.	B	0006	00257942    	NO		CAMILA		9000808873	
40	01/11/2010	HTEL 725 CONTINENTAL   (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00169751    	NO		CSOSA		9000612776	
40	15/02/2011 23:04:56	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	Avenida Corrientes 1778	150.	Contado	150.	.	.	12.	.	B	0007	00157038    	NO		PABLOP		9000868744	
41	23/12/2010 11:40:08	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	LIBERTADOR 2112	150.	Contado	.	38.	.	12.	.	B	0007	00149577    	NO		BFAZZALARI		9000837435	
41	23/09/2009 19:35:35	ALVEAR Y LIBERTAD  (1 DESTINO) 		98.	Contado	98.	.	.	7.	.	B	0007	00074982    	NO		MLLANOS		9000538806	0
41	24/11/2009 12:02:43	RECOLETA - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		98.	Contado	98.	.	.	7.	.	B	0001	00169242    	NO		MARIANA		9000580733	
41	10/08/2010	RETOR  (1 DESTINO) 		68.	Contado	68.	.	.	.	.	B	0008	00022272    	NO		DANIA		9000781715	
41	17/11/2010 23:41:06	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		130.	Contado	130.	.	.	10.	.	B	0006	00259685    	NO		CECILIA		9000813226	
41	22/03/2011 01:37:19	VILLA PUEYRREDON - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0007	00162566    	NO		PABLOP		9000890095	
42	23/01/2011 01:12:27	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	CRISTOFALO COLOMBO	150.	Contado	150.	.	.	12.	.	B	0006	00278432    	NO		CSAVO		9000855542	
44	20/06/2011 08:07:26	RETIRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	1 DESTINO	150.	Contado	150.	.	.	12.	.	B	0007	00174459    	NO		BFAZZALARI		9000937937	
45	15/03/2011 10:44:25	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	HOTEL HYATT ALVEAR 1661	150.	Contado	150.	.	.	12.	.	B	0003	00094107    	NO		CELESTE		9000886183	
46	24/10/2010 20:49:35	RETIRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		130.	Contado	130.	.	.	10.	.	B	0008	00023621    	NO		DANIA		9000793225	
46	31/12/2010 11:45:18	CASTELAR - MORON  (1 DESTINO) 		156.	Contado	.	39.	.	12.	.	B	0007	00150827    	NO		LEO		9000842565	
46	06/04/2010	CONGRESO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00208528    	NO		CSOSA		9000699752	
47	01/03/2011	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0006	00272745    	NO		SOLEDAD		9000843806	
48	24/05/2010 14:01:21	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	118.	.	.	8.	.	B	0006	00205052    	NO		LEO		9000692891	
48	11/05/2010	GRAL PACHECO - TIGRE CON PEAJES  (1 DESTINO) 		198.	Contado	198.	.	.	10.	.	B	0005	00143561    	NO		DEMARCO		9000802490	
5	06/03/2011	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	SUIPACHA AL 900	150.	Contado	150.	.	.	12.	.	B	0005	00163739    	NO		CAMILA		9000930060	
5	05/01/2011	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	AV CALLAO 1764	150.	Contado	150.	.	.	12.	.	B	0006	00304561    	NO		CELESTE		9000913527	
5	28/04/2011 07:28:22	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	1856 AV CORRIENTES	150.	Contado	150.	.	.	12.	.	B	0007	00168239    	NO		MGABRIELA		9000912166	
5	12/11/2009	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		98.	Contado	.	27.	.	7.	.	B	0007	00088948    	NO		VRIVEROS		9000592355	
50	13/02/2011 01:02:00	RETIRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	LIBERTAD Y ARENALES	150.	Contado	150.	.	.	12.	.	B	0006	00283775    	NO		CSAVO		9000867093	
50	17/02/2011 00:51:50	MONSERRAT - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0005	00155361    	NO		PABLOP		9000869370	
50	27/05/2011 21:15:50	BELGRANO - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		150.	Contado	150.	.	.	12.	.	B	0007	00171810    	NO		MATIAS		9000926563	
50	27/09/2010 05:03:10	AEROPARQUE - CAPITAL FEDERAL CON PEAJE  (1 DESTINO) 		148.	Contado	148.	.	.	10.	.	B	0005	00138539    	NO		CAMILA		9000774200	
50	20/05/2011 01:04:22	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	CORRIENTES 1212	150.	Contado	150.	.	.	12.	.	B	0007	00170763    	NO		CECILIA		9000922756	
51	24/12/2009 22:03:43	PALERMO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	7.	30.	.	8.	.	B	0007	00091342    	NO		DAVID		9000601371	
51	22/09/2010 08:19:25	RETIRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		130.	Contado	.	34.	.	10.	.	B	0007	00132773    	NO		CSAVO		9000771157	
52	10/07/2010	ONCE - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		130.	Contado	130.	.	.	10.	.	B	0006	00246831    	NO		AGRESTA		9000780547	
52	19/04/2010 16:14:03	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 		118.	Contado	.	32.	.	8.	.	B	0007	00111861    	NO		MARIANA		9000673264	
52	26/02/2011 08:51:28	CENTRO - CAPITAL FEDERAL CON PEAJES  (1 DESTINO) 	LIBERTADOR 420	150.	Contado	150.	.	.	12.	.	B	0007	00158772    	NO		PABLOP		9000874890	
